Date,Year,Quarter,MonthName,MonthNum,DayOfWeek
15-02-2023,2023,Q1,February,2,Wednesday
16-02-2023,2023,Q1,February,2,Thursday
17-02-2023,2023,Q1,February,2,Friday
18-02-2023,2023,Q1,February,2,Saturday
19-02-2023,2023,Q1,February,2,Sunday
20-02-2023,2023,Q1,February,2,Monday
21-02-2023,2023,Q1,February,2,Tuesday
22-02-2023,2023,Q1,February,2,Wednesday
23-02-2023,2023,Q1,February,2,Thursday
24-02-2023,2023,Q1,February,2,Friday
25-02-2023,2023,Q1,February,2,Saturday
26-02-2023,2023,Q1,February,2,Sunday
27-02-2023,2023,Q1,February,2,Monday
28-02-2023,2023,Q1,February,2,Tuesday
01-03-2023,2023,Q1,March,3,Wednesday
02-03-2023,2023,Q1,March,3,Thursday
03-03-2023,2023,Q1,March,3,Friday
04-03-2023,2023,Q1,March,3,Saturday
05-03-2023,2023,Q1,March,3,Sunday
06-03-2023,2023,Q1,March,3,Monday
07-03-2023,2023,Q1,March,3,Tuesday
08-03-2023,2023,Q1,March,3,Wednesday
09-03-2023,2023,Q1,March,3,Thursday
10-03-2023,2023,Q1,March,3,Friday
11-03-2023,2023,Q1,March,3,Saturday
12-03-2023,2023,Q1,March,3,Sunday
13-03-2023,2023,Q1,March,3,Monday
14-03-2023,2023,Q1,March,3,Tuesday
15-03-2023,2023,Q1,March,3,Wednesday
16-03-2023,2023,Q1,March,3,Thursday
17-03-2023,2023,Q1,March,3,Friday
18-03-2023,2023,Q1,March,3,Saturday
19-03-2023,2023,Q1,March,3,Sunday
20-03-2023,2023,Q1,March,3,Monday
21-03-2023,2023,Q1,March,3,Tuesday
22-03-2023,2023,Q1,March,3,Wednesday
23-03-2023,2023,Q1,March,3,Thursday
24-03-2023,2023,Q1,March,3,Friday
25-03-2023,2023,Q1,March,3,Saturday
26-03-2023,2023,Q1,March,3,Sunday
27-03-2023,2023,Q1,March,3,Monday
28-03-2023,2023,Q1,March,3,Tuesday
29-03-2023,2023,Q1,March,3,Wednesday
30-03-2023,2023,Q1,March,3,Thursday
31-03-2023,2023,Q1,March,3,Friday
01-04-2023,2023,Q2,April,4,Saturday
02-04-2023,2023,Q2,April,4,Sunday
03-04-2023,2023,Q2,April,4,Monday
04-04-2023,2023,Q2,April,4,Tuesday
05-04-2023,2023,Q2,April,4,Wednesday
06-04-2023,2023,Q2,April,4,Thursday
07-04-2023,2023,Q2,April,4,Friday
08-04-2023,2023,Q2,April,4,Saturday
09-04-2023,2023,Q2,April,4,Sunday
10-04-2023,2023,Q2,April,4,Monday
11-04-2023,2023,Q2,April,4,Tuesday
12-04-2023,2023,Q2,April,4,Wednesday
13-04-2023,2023,Q2,April,4,Thursday
14-04-2023,2023,Q2,April,4,Friday
15-04-2023,2023,Q2,April,4,Saturday
16-04-2023,2023,Q2,April,4,Sunday
17-04-2023,2023,Q2,April,4,Monday
18-04-2023,2023,Q2,April,4,Tuesday
19-04-2023,2023,Q2,April,4,Wednesday
20-04-2023,2023,Q2,April,4,Thursday
21-04-2023,2023,Q2,April,4,Friday
22-04-2023,2023,Q2,April,4,Saturday
23-04-2023,2023,Q2,April,4,Sunday
24-04-2023,2023,Q2,April,4,Monday
25-04-2023,2023,Q2,April,4,Tuesday
26-04-2023,2023,Q2,April,4,Wednesday
27-04-2023,2023,Q2,April,4,Thursday
28-04-2023,2023,Q2,April,4,Friday
29-04-2023,2023,Q2,April,4,Saturday
30-04-2023,2023,Q2,April,4,Sunday
01-05-2023,2023,Q2,May,5,Monday
02-05-2023,2023,Q2,May,5,Tuesday
03-05-2023,2023,Q2,May,5,Wednesday
04-05-2023,2023,Q2,May,5,Thursday
05-05-2023,2023,Q2,May,5,Friday
06-05-2023,2023,Q2,May,5,Saturday
07-05-2023,2023,Q2,May,5,Sunday
08-05-2023,2023,Q2,May,5,Monday
09-05-2023,2023,Q2,May,5,Tuesday
10-05-2023,2023,Q2,May,5,Wednesday
11-05-2023,2023,Q2,May,5,Thursday
12-05-2023,2023,Q2,May,5,Friday
13-05-2023,2023,Q2,May,5,Saturday
14-05-2023,2023,Q2,May,5,Sunday
15-05-2023,2023,Q2,May,5,Monday
16-05-2023,2023,Q2,May,5,Tuesday
17-05-2023,2023,Q2,May,5,Wednesday
18-05-2023,2023,Q2,May,5,Thursday
19-05-2023,2023,Q2,May,5,Friday
20-05-2023,2023,Q2,May,5,Saturday
21-05-2023,2023,Q2,May,5,Sunday
22-05-2023,2023,Q2,May,5,Monday
23-05-2023,2023,Q2,May,5,Tuesday
24-05-2023,2023,Q2,May,5,Wednesday
25-05-2023,2023,Q2,May,5,Thursday
26-05-2023,2023,Q2,May,5,Friday
27-05-2023,2023,Q2,May,5,Saturday
28-05-2023,2023,Q2,May,5,Sunday
29-05-2023,2023,Q2,May,5,Monday
30-05-2023,2023,Q2,May,5,Tuesday
31-05-2023,2023,Q2,May,5,Wednesday
01-06-2023,2023,Q2,June,6,Thursday
02-06-2023,2023,Q2,June,6,Friday
03-06-2023,2023,Q2,June,6,Saturday
04-06-2023,2023,Q2,June,6,Sunday
05-06-2023,2023,Q2,June,6,Monday
06-06-2023,2023,Q2,June,6,Tuesday
07-06-2023,2023,Q2,June,6,Wednesday
08-06-2023,2023,Q2,June,6,Thursday
09-06-2023,2023,Q2,June,6,Friday
10-06-2023,2023,Q2,June,6,Saturday
11-06-2023,2023,Q2,June,6,Sunday
12-06-2023,2023,Q2,June,6,Monday
13-06-2023,2023,Q2,June,6,Tuesday
14-06-2023,2023,Q2,June,6,Wednesday
15-06-2023,2023,Q2,June,6,Thursday
16-06-2023,2023,Q2,June,6,Friday
17-06-2023,2023,Q2,June,6,Saturday
18-06-2023,2023,Q2,June,6,Sunday
19-06-2023,2023,Q2,June,6,Monday
20-06-2023,2023,Q2,June,6,Tuesday
21-06-2023,2023,Q2,June,6,Wednesday
22-06-2023,2023,Q2,June,6,Thursday
23-06-2023,2023,Q2,June,6,Friday
24-06-2023,2023,Q2,June,6,Saturday
25-06-2023,2023,Q2,June,6,Sunday
26-06-2023,2023,Q2,June,6,Monday
27-06-2023,2023,Q2,June,6,Tuesday
28-06-2023,2023,Q2,June,6,Wednesday
29-06-2023,2023,Q2,June,6,Thursday
30-06-2023,2023,Q2,June,6,Friday
01-07-2023,2023,Q3,July,7,Saturday
02-07-2023,2023,Q3,July,7,Sunday
03-07-2023,2023,Q3,July,7,Monday
04-07-2023,2023,Q3,July,7,Tuesday
05-07-2023,2023,Q3,July,7,Wednesday
06-07-2023,2023,Q3,July,7,Thursday
07-07-2023,2023,Q3,July,7,Friday
08-07-2023,2023,Q3,July,7,Saturday
09-07-2023,2023,Q3,July,7,Sunday
10-07-2023,2023,Q3,July,7,Monday
11-07-2023,2023,Q3,July,7,Tuesday
12-07-2023,2023,Q3,July,7,Wednesday
13-07-2023,2023,Q3,July,7,Thursday
14-07-2023,2023,Q3,July,7,Friday
15-07-2023,2023,Q3,July,7,Saturday
16-07-2023,2023,Q3,July,7,Sunday
17-07-2023,2023,Q3,July,7,Monday
18-07-2023,2023,Q3,July,7,Tuesday
19-07-2023,2023,Q3,July,7,Wednesday
20-07-2023,2023,Q3,July,7,Thursday
21-07-2023,2023,Q3,July,7,Friday
22-07-2023,2023,Q3,July,7,Saturday
23-07-2023,2023,Q3,July,7,Sunday
24-07-2023,2023,Q3,July,7,Monday
25-07-2023,2023,Q3,July,7,Tuesday
26-07-2023,2023,Q3,July,7,Wednesday
27-07-2023,2023,Q3,July,7,Thursday
28-07-2023,2023,Q3,July,7,Friday
29-07-2023,2023,Q3,July,7,Saturday
30-07-2023,2023,Q3,July,7,Sunday
31-07-2023,2023,Q3,July,7,Monday
01-08-2023,2023,Q3,August,8,Tuesday
02-08-2023,2023,Q3,August,8,Wednesday
03-08-2023,2023,Q3,August,8,Thursday
04-08-2023,2023,Q3,August,8,Friday
05-08-2023,2023,Q3,August,8,Saturday
06-08-2023,2023,Q3,August,8,Sunday
07-08-2023,2023,Q3,August,8,Monday
08-08-2023,2023,Q3,August,8,Tuesday
09-08-2023,2023,Q3,August,8,Wednesday
10-08-2023,2023,Q3,August,8,Thursday
11-08-2023,2023,Q3,August,8,Friday
12-08-2023,2023,Q3,August,8,Saturday
13-08-2023,2023,Q3,August,8,Sunday
